"Subj" "cond" "run" "rew" "cue" "acc_diff" "rt_diff"
32 2 4 1 2 16.6666666666667 135.275
33 2 4 1 2 -12.5 -35.3333333333333
34 2 4 1 2 4.16666666666666 -79.9285714285713
35 2 4 1 2 8.33333333333334 311.181818181818
36 2 4 1 2 16.6666666666667 26.6666666666667
37 2 4 1 2 0 163.25
0 3 1 2 1 0 154.70652173913
1 3 1 2 1 0 -102.833333333333
2 3 1 2 1 7.5 -9.57142857142867
3 3 1 2 1 5.55555555555556 -250.294117647059
4 3 1 2 1 0 -207.375
6 3 1 2 1 4.16666666666666 -67.5326086956522
7 3 1 2 1 4.16666666666666 -65.2771739130435
8 3 1 2 1 4.16666666666666 -90.445652173913
9 3 1 2 1 4.16666666666666 -145.842391304348
11 3 1 2 1 8.33333333333334 -151.187969924812
13 3 1 2 1 -4.16666666666666 141.087719298246
14 3 1 2 1 16.6666666666667 -194.925
15 3 1 2 1 16.6666666666667 -263.275
17 3 1 2 1 20.8333333333333 -103.858974358974
18 3 1 2 1 0 -72.4583333333334
20 3 1 2 1 -12.5 63.7878787878788
21 3 1 2 1 21.7391304347826 -32.8333333333333
24 3 1 2 1 -12.5 -0.589285714285779
26 3 1 2 1 21.7391304347826 -119.611111111111
27 3 1 2 1 4.16666666666666 -106.472826086957
28 3 1 2 1 4.16666666666666 87.3097826086956
29 3 1 2 1 0 -54.5
30 3 1 2 1 12.5 -48.9583333333334
31 3 1 2 1 0 -209.416666666667
32 3 1 2 1 27.2727272727273 -3.5625
33 3 1 2 1 4.16666666666666 -6.13043478260875
34 3 1 2 1 16.6666666666667 -112.8
35 3 1 2 1 4.89130434782609 98.6315789473683
36 3 1 2 1 8.33333333333334 -125.602272727273
37 3 1 2 1 29.1666666666667 -108.85294117647
0 3 2 2 1 0 31.0815217391304
1 3 2 2 1 0 -195.458333333333
2 3 2 2 1 20 -64.25
3 3 2 2 1 5.55555555555556 -47.0441176470588
4 3 2 2 1 0 -116.5
6 3 2 2 1 4.16666666666666 30.0923913043478
7 3 2 2 1 4.16666666666666 28.5978260869565
8 3 2 2 1 4.16666666666666 -169.195652173913
9 3 2 2 1 4.16666666666666 -223.967391304348
11 3 2 2 1 20.8333333333333 -231.223684210526
13 3 2 2 1 8.33333333333334 153.563909774436
14 3 2 2 1 16.6666666666667 -268.925
15 3 2 2 1 16.6666666666667 -234.525
17 3 2 2 1 45.8333333333333 -141.317307692308
18 3 2 2 1 0 -37.5833333333334
20 3 2 2 1 50 56.7045454545455
21 3 2 2 1 21.7391304347826 -112.708333333333
24 3 2 2 1 0 -166
26 3 2 2 1 21.7391304347826 -78.6111111111111
27 3 2 2 1 4.16666666666666 -110.472826086957
28 3 2 2 1 4.16666666666666 0.934782608695627
29 3 2 2 1 0 -123.75
30 3 2 2 1 12.5 0.291666666666629
31 3 2 2 1 0 -138.041666666667
32 3 2 2 1 27.2727272727273 40.4375
33 3 2 2 1 4.16666666666666 90.3695652173913
34 3 2 2 1 16.6666666666667 -131.3
35 3 2 2 1 17.3913043478261 15.8815789473683
36 3 2 2 1 8.33333333333334 -277.852272727273
37 3 2 2 1 16.6666666666667 -16.3529411764705
0 3 3 2 1 0 159.70652173913
1 3 3 2 1 0 -145.208333333333
2 3 3 2 1 20 -40.375
3 3 3 2 1 5.55555555555556 -356.044117647059
4 3 3 2 1 0 -258.375
6 3 3 2 1 4.16666666666666 -131.032608695652
7 3 3 2 1 4.16666666666666 -125.152173913043
8 3 3 2 1 4.16666666666666 -303.570652173913
9 3 3 2 1 4.16666666666666 -222.092391304348
11 3 3 2 1 -4.16666666666666 -265.140350877193
13 3 3 2 1 -4.16666666666666 84.421052631579
14 3 3 2 1 16.6666666666667 -308.175
15 3 3 2 1 16.6666666666667 -227.65
17 3 3 2 1 33.3333333333333 -210.406593406593
18 3 3 2 1 0 -76.8333333333334
20 3 3 2 1 50 170.329545454545
21 3 3 2 1 21.7391304347826 -281.458333333333
24 3 3 2 1 0 -117.375
26 3 3 2 1 21.7391304347826 -286.486111111111
27 3 3 2 1 4.16666666666666 -159.597826086957
28 3 3 2 1 4.16666666666666 -51.6902173913044
29 3 3 2 1 0 -69.375
30 3 3 2 1 12.5 37.0416666666666
31 3 3 2 1 0 -253.791666666667
32 3 3 2 1 27.2727272727273 24.9375
33 3 3 2 1 4.16666666666666 2.11956521739125
34 3 3 2 1 16.6666666666667 -154.675
35 3 3 2 1 17.3913043478261 -127.993421052632
36 3 3 2 1 8.33333333333334 -285.977272727273
37 3 3 2 1 29.1666666666667 -74.4957983193276
0 3 4 2 1 0 9.45652173913038
1 3 4 2 1 0 -173.583333333333
