"Subj"	"run"	"cond"	"rew"	"cue"	"group"	"sex"	"acc_diff"	"rt_diff"
65	1	1	1	2	1	2	-12.5	-154.883928571429
66	1	1	1	2	1	1	16.9642857142857	-67.348484848485
67	1	1	1	2	0	2	6.25	-16.8131868131868
68	1	1	1	2	0	2	18.75	-223.932692307692
70	1	1	1	2	0	2	13.3333333333333	-150.211538461539
71	1	1	1	2	0	2	31.25	141.333333333333
72	1	1	1	2	1	2	12.5	-161.160714285714
73	1	1	1	2	0	2	37.5	-33.125
74	1	1	1	2	1	2	8.33333333333334	224.633333333333
75	1	1	1	2	0	1	37.5	-68.7750000000001
77	1	1	1	2	1	2	-8.57142857142857	-372.833333333333
78	1	1	1	2	1	2	43.75	-27.8571428571429
79	1	1	1	2	1	1	-5.83333333333333	-14.2142857142856
81	1	1	1	2	0	1	0	-58.2
2	2	1	1	2	1	2	12.5	-53.3214285714287
4	2	1	1	2	1	2	6.25	-161.45
5	2	1	1	2	1	2	20	-105
6	2	1	1	2	1	2	0	-131.25
7	2	1	1	2	1	2	7.14285714285714	-48.8269230769231
11	2	1	1	2	0	2	12.5	-164.517857142857
12	2	1	1	2	1	1	25	-172.166666666667
13	2	1	1	2	1	2	-12.5	-29.547619047619
15	2	1	1	2	0	2	2.5	84.6666666666667
16	2	1	1	2	1	2	6.25	-304.625
18	2	1	1	2	0	2	31.25	-151.420454545455
21	2	1	1	2	1	2	25	-126.541666666667
23	2	1	1	2	0	1	-8.33333333333333	-69.4000000000001
24	2	1	1	2	1	2	-6.25	-191.952380952381
25	2	1	1	2	0	2	12.5	-315.285714285714
27	2	1	1	2	1	2	6.25	-188.375
29	2	1	1	2	0	1	0	-126.1875
30	2	1	1	2	0	2	25	-39.2083333333333
33	2	1	1	2	1	1	12.5	-150.964285714286
35	2	1	1	2	0	2	30.7692307692308	-206.377777777778
38	2	1	1	2	1	1	0	-129.3125
40	2	1	1	2	1	1	6.25	77.1333333333334
